 accuracy	 gpsAltitude	 latitude	 longitude	 pressure
11	122397827	37.94445672	-87.40504025	1003894775
11	122373047	37.94445671	-87.40504015	1003910156
11	122328735	37.94445653	-87.40503988	1003897705
11	122296204	37.9444564	-87.40503976	1003877441
11	122261353	37.94445631	-87.40503956	1003883057
11	122258850	37.94445639	-87.40503949	1003857422
11	118977051	37.94445623	-87.40503932	1003860352
11	120511536	37.94445611	-87.40503908	1003827881
11	121042847	37.94445595	-87.40503899	1003843506
12	121266541	37.94445579	-87.40503887	1003855713
11	121501221	37.94445565	-87.40503864	1003860596
11	121635254	37.94445549	-87.40503867	1003850586
11	121714844	37.94445538	-87.40503846	1003854004
11	121683105	37.94445524	-87.40503814	1003852539
12	121704895	37.94445505	-87.40503789	1003851563
11	121688599	37.94445499	-87.40503778	1003861328
11	121685852	37.944455	-87.40503781	1003853760
11	121724731	37.94445488	-87.40503767	1003850830
11	121694641	37.94445474	-87.40503744	1003850098
11	121704041	37.94445473	-87.40503736	1003854248
5	71170410	37.94444667	-87.4049658	1003705078
4	92369568	37.94445163	-87.40499108	1003714844
5	74861633	37.94445224	-87.40499101	1003705078
4	81250488	37.94445643	-87.40498893	1003717041
3	73878845	37.97101963	-87.57473637	1002819824
3	74446411	37.97102213	-87.57473402	1002831299
3	74404419	37.97102335	-87.57473326	1002845947
3	74599487	37.97102344	-87.5747308	1002831543
3	74775635	37.97102394	-87.57472945	1002821045
3	75136536	37.97102432	-87.57472655	1002817383
3	75423645	37.97102428	-87.57472493	1002835449
3	75561401	37.97102412	-87.57472422	1002817383
3	75669861	37.97102413	-87.57472365	1002825928
3	75690979	37.97102407	-87.57472354	1002826416
3	75703064	37.97102404	-87.57472349	1002821289
3	75703552	37.97102401	-87.5747235	1002820557
3	75707581	37.97102398	-87.57472348	1002832275
3	75707581	37.97102397	-87.57472347	1002833252
3	75711670	37.97102396	-87.57472345	1002814941
3	75716553	37.97102395	-87.57472343	1002845215
3	75721130	37.97102394	-87.5747234	1002824707
3	75727417	37.97102395	-87.57472336	1002825439
3	75754150	37.97102393	-87.57472302	1002849609
3	75790771	37.97102389	-87.57472261	1002697266
3	75830200	37.97102389	-87.57472221	1002811035
3	75886108	37.97102404	-87.57472214	1002838379
3	75958191	37.97102425	-87.5747221	1002805420
3	76861816	37.97102716	-87.57471229	1002797119
3	76719238	37.9710223	-87.5747114	1002793701
3	77067688	37.97102145	-87.57470459	1002797852
3	77151367	37.97102063	-87.57470216	1002797852
3	77203247	37.97101955	-87.57469965	1002821045
3	77076843	37.97101804	-87.57469762	1002783447
3	77209839	37.97101793	-87.5746953	1002818359
3	76976563	37.97101963	-87.57469289	1002810791
3	76717834	37.97102228	-87.5746903	1002803223
3	76616516	37.97102406	-87.57468856	1002802979
3	76552368	37.97102566	-87.57468672	1002812500
3	76703979	37.97102635	-87.57468541	1002796631
3	76624634	37.97102692	-87.5746838	1002817871
3	76747986	37.97102718	-87.57468226	1002804688
3	76845337	37.97102724	-87.57468068	1002807129
3	76941040	37.97102731	-87.57467948	1002813965
3	76938599	37.97102738	-87.57467858	1002793701
3	76973755	37.97102743	-87.57467773	1002790283
3	76555725	37.9710282	-87.57467622	1002828857
3	76090820	37.97102692	-87.57467225	1002916748
3	75431824	37.97102432	-87.57466752	1002860352
3	75539612	37.97102298	-87.57466356	1002845459
3	75471069	37.97102254	-87.57465898	1002853027
3	75408447	37.97102203	-87.57465736	1002836670
3	75364319	37.97101998	-87.57465587	1002884277
4	75365540	37.97101534	-87.57465571	1002810547
4	75597778	37.97100796	-87.57465693	1002799316
4	75654053	37.97100219	-87.57466701	1002807861
4	75395264	37.97099564	-87.5746804	1002794678
4	74772339	37.97098633	-87.57469263	1002798828
4	74473938	37.97097685	-87.57470262	1002774658
4	74693848	37.97096785	-87.57470867	1002821533
4	73146362	37.97096095	-87.57471839	1002765869
4	73489502	37.97095725	-87.574728	1002886963
